file_name,class,bbox_rule,review_note,license_status
wall_filter_reviewed_001.jpg,filter,Draw bbox only around visible dust filter/filter mesh or filter access part when the mesh itself is visible; skip unclear frame.,wall-mounted LG demo candidate,ifixit_public_guide_verify_license_before_training
wall_filter_reviewed_002.jpg,filter,Draw bbox only around visible dust filter/filter mesh or filter access part when the mesh itself is visible; skip unclear frame.,wall-mounted LG demo candidate,ifixit_public_guide_verify_license_before_training
wall_filter_reviewed_003.jpg,filter,Draw bbox only around visible dust filter/filter mesh or filter access part when the mesh itself is visible; skip unclear frame.,wall-mounted LG demo candidate,ifixit_public_guide_verify_license_before_training
wall_filter_reviewed_004.jpg,filter,Draw bbox only around visible dust filter/filter mesh or filter access part when the mesh itself is visible; skip unclear frame.,wall-mounted LG demo candidate,ifixit_public_guide_verify_license_before_training
wall_filter_reviewed_005.jpg,filter,Draw bbox only around visible dust filter/filter mesh or filter access part when the mesh itself is visible; skip unclear frame.,wall-mounted LG demo candidate,ifixit_public_guide_verify_license_before_training
wall_filter_reviewed_006.jpg,filter,Draw bbox only around visible dust filter/filter mesh or filter access part when the mesh itself is visible; skip unclear frame.,wall-mounted LG demo candidate,ifixit_public_guide_verify_license_before_training
wall_filter_reviewed_007.jpg,filter,Draw bbox only around visible dust filter/filter mesh or filter access part when the mesh itself is visible; skip unclear frame.,wall-mounted LG demo candidate,ifixit_public_guide_verify_license_before_training
wall_filter_reviewed_008.jpg,filter,Draw bbox only around visible dust filter/filter mesh or filter access part when the mesh itself is visible; skip unclear frame.,wall-mounted LG demo candidate,ifixit_public_guide_verify_license_before_training
wall_filter_reviewed_009.jpg,filter,Draw bbox only around visible dust filter/filter mesh or filter access part when the mesh itself is visible; skip unclear frame.,wall-mounted LG demo candidate,ifixit_public_guide_verify_license_before_training
wall_filter_reviewed_010.jpg,filter,Draw bbox only around visible dust filter/filter mesh or filter access part when the mesh itself is visible; skip unclear frame.,wall-mounted LG demo candidate,ifixit_public_guide_verify_license_before_training
wall_filter_reviewed_011.jpg,filter,Draw bbox only around visible dust filter/filter mesh or filter access part when the mesh itself is visible; skip unclear frame.,wall-mounted LG demo candidate,ifixit_public_guide_verify_license_before_training
wall_filter_reviewed_012.jpg,filter,Draw bbox only around visible dust filter/filter mesh or filter access part when the mesh itself is visible; skip unclear frame.,wall-mounted LG demo candidate,ifixit_public_guide_verify_license_before_training
wall_filter_reviewed_013.jpg,filter,Draw bbox only around visible dust filter/filter mesh or filter access part when the mesh itself is visible; skip unclear frame.,wall-mounted LG demo candidate,ifixit_public_guide_verify_license_before_training
