filename,label,status,split,batch_name,message
user_primary_filter_001.jpg,user_primary_filter_001.txt,uploaded_with_prediction_label,train,lg_wall_mounted_filter_user_primary_099_model_prelabel_yolov8,"{'image': {'success': True, 'id': 'MSOoc1349bBfEt7Mc2bF'}, 'annotation': {'success': True}, 'upload_time': 1.5709316730499268, 'annotation_time': 0.9638762474060059, 'upload_retry_attempts': 0, 'annotation_upload_retry_attempts': 0}"
user_primary_filter_002.jpg,user_primary_filter_002.txt,uploaded_with_prediction_label,train,lg_wall_mounted_filter_user_primary_099_model_prelabel_yolov8,"{'image': {'success': True, 'id': 'UJRd0atIPsXErBl8goPw'}, 'annotation': {'success': True}, 'upload_time': 5.660258769989014, 'annotation_time': 0.8462073802947998, 'upload_retry_attempts': 0, 'annotation_upload_retry_attempts': 0}"
user_primary_filter_003.jpg,user_primary_filter_003.txt,uploaded_without_prediction_label,train,lg_wall_mounted_filter_user_primary_099_model_prelabel_yolov8,"{'image': {'success': True, 'id': 'sI84waiRZL0lmqHKzLMM'}, 'annotation': None, 'upload_time': 2.7186293601989746, 'annotation_time': None, 'upload_retry_attempts': 0, 'annotation_upload_retry_attempts': 0}"
user_primary_filter_004.jpg,user_primary_filter_004.txt,uploaded_with_prediction_label,train,lg_wall_mounted_filter_user_primary_099_model_prelabel_yolov8,"{'image': {'success': True, 'id': 'FySjx051TJZ3KCRpczt3'}, 'annotation': {'success': True}, 'upload_time': 1.2791051864624023, 'annotation_time': 1.1399190425872803, 'upload_retry_attempts': 0, 'annotation_upload_retry_attempts': 0}"
user_primary_filter_005.jpg,user_primary_filter_005.txt,uploaded_with_prediction_label,train,lg_wall_mounted_filter_user_primary_099_model_prelabel_yolov8,"{'image': {'success': True, 'id': 'VwwzxRkQwr7bOgmsplD6'}, 'annotation': {'success': True}, 'upload_time': 2.3339014053344727, 'annotation_time': 0.8556907176971436, 'upload_retry_attempts': 0, 'annotation_upload_retry_attempts': 0}"
user_primary_filter_006.jpg,user_primary_filter_006.txt,uploaded_with_prediction_label,train,lg_wall_mounted_filter_user_primary_099_model_prelabel_yolov8,"{'image': {'success': True, 'id': 'oSc6qIRt2AF2BCs6V4wA'}, 'annotation': {'success': True}, 'upload_time': 1.277055263519287, 'annotation_time': 1.5105102062225342, 'upload_retry_attempts': 0, 'annotation_upload_retry_attempts': 0}"
user_primary_filter_007.jpg,user_primary_filter_007.txt,uploaded_without_prediction_label,train,lg_wall_mounted_filter_user_primary_099_model_prelabel_yolov8,"{'image': {'success': True, 'id': 'GqvNWJdze3N456Woc5rO'}, 'annotation': None, 'upload_time': 1.4509685039520264, 'annotation_time': None, 'upload_retry_attempts': 0, 'annotation_upload_retry_attempts': 0}"
user_primary_filter_008.jpg,user_primary_filter_008.txt,uploaded_with_prediction_label,train,lg_wall_mounted_filter_user_primary_099_model_prelabel_yolov8,"{'image': {'success': True, 'id': 'mgSLeeDuQl541nmpt5t9'}, 'annotation': {'success': True}, 'upload_time': 1.1028995513916016, 'annotation_time': 0.8861515522003174, 'upload_retry_attempts': 0, 'annotation_upload_retry_attempts': 0}"
user_primary_filter_009.png,user_primary_filter_009.txt,uploaded_with_prediction_label,train,lg_wall_mounted_filter_user_primary_099_model_prelabel_yolov8,"{'image': {'success': True, 'id': 'i7O07Vozcypxm0jyOawa'}, 'annotation': {'success': True}, 'upload_time': 2.779466390609741, 'annotation_time': 1.091808557510376, 'upload_retry_attempts': 0, 'annotation_upload_retry_attempts': 0}"
user_primary_filter_010.png,user_primary_filter_010.txt,uploaded_without_prediction_label,train,lg_wall_mounted_filter_user_primary_099_model_prelabel_yolov8,"{'image': {'success': True, 'id': 'E78fH3bfYPVKyMvSQyAi'}, 'annotation': None, 'upload_time': 2.3009815216064453, 'annotation_time': None, 'upload_retry_attempts': 0, 'annotation_upload_retry_attempts': 0}"
