file_name,class,bbox_rule,review_note,license_status
user_primary_filter_001.jpg,filter,Draw bbox around visible filter mesh and its plastic frame if they form one removable filter part.,user primary wall-mounted candidate,user_provided_for_project_verify_origin_before_public_release
user_primary_filter_002.jpg,filter,Draw bbox around visible filter mesh and its plastic frame if they form one removable filter part.,user primary wall-mounted candidate,user_provided_for_project_verify_origin_before_public_release
user_primary_filter_003.jpg,filter,Draw bbox around visible filter mesh and its plastic frame if they form one removable filter part.,user primary wall-mounted candidate,user_provided_for_project_verify_origin_before_public_release
user_primary_filter_004.jpg,filter,Draw bbox around visible filter mesh and its plastic frame if they form one removable filter part.,user primary wall-mounted candidate,user_provided_for_project_verify_origin_before_public_release
user_primary_filter_005.jpg,filter,Draw bbox around visible filter mesh and its plastic frame if they form one removable filter part.,user primary wall-mounted candidate,user_provided_for_project_verify_origin_before_public_release
user_primary_filter_006.jpg,filter,Draw bbox around visible filter mesh and its plastic frame if they form one removable filter part.,user primary wall-mounted candidate,user_provided_for_project_verify_origin_before_public_release
user_primary_filter_007.jpg,filter,Draw bbox around visible filter mesh and its plastic frame if they form one removable filter part.,user primary wall-mounted candidate,user_provided_for_project_verify_origin_before_public_release
user_primary_filter_008.jpg,filter,Draw bbox around visible filter mesh and its plastic frame if they form one removable filter part.,user primary wall-mounted candidate,user_provided_for_project_verify_origin_before_public_release
user_primary_filter_009.png,filter,Draw bbox around visible filter mesh and its plastic frame if they form one removable filter part.,user primary wall-mounted candidate,user_provided_for_project_verify_origin_before_public_release
user_primary_filter_010.png,filter,Draw bbox around visible filter mesh and its plastic frame if they form one removable filter part.,user primary wall-mounted candidate,user_provided_for_project_verify_origin_before_public_release
user_primary_filter_011.png,filter,Draw bbox around visible filter mesh and its plastic frame if they form one removable filter part.,user primary wall-mounted candidate,user_provided_for_project_verify_origin_before_public_release
user_primary_filter_012.jpg,filter,Draw bbox around visible filter mesh and its plastic frame if they form one removable filter part.,user primary wall-mounted candidate,user_provided_for_project_verify_origin_before_public_release
user_primary_filter_013.jpg,filter,Draw bbox around visible filter mesh and its plastic frame if they form one removable filter part.,user primary wall-mounted candidate,user_provided_for_project_verify_origin_before_public_release
user_primary_filter_014.png,filter,Draw bbox around visible filter mesh and its plastic frame if they form one removable filter part.,user primary wall-mounted candidate,user_provided_for_project_verify_origin_before_public_release
user_primary_filter_015.jpg,filter,Draw bbox around visible filter mesh and its plastic frame if they form one removable filter part.,user primary wall-mounted candidate,user_provided_for_project_verify_origin_before_public_release
user_primary_filter_016.png,filter,Draw bbox around visible filter mesh and its plastic frame if they form one removable filter part.,user primary wall-mounted candidate,user_provided_for_project_verify_origin_before_public_release
user_primary_filter_017.jpg,filter,Draw bbox around visible filter mesh and its plastic frame if they form one removable filter part.,user primary wall-mounted candidate,user_provided_for_project_verify_origin_before_public_release
user_primary_filter_018.png,filter,Draw bbox around visible filter mesh and its plastic frame if they form one removable filter part.,user primary wall-mounted candidate,user_provided_for_project_verify_origin_before_public_release
user_primary_filter_019.jpg,filter,Draw bbox around visible filter mesh and its plastic frame if they form one removable filter part.,user primary wall-mounted candidate,user_provided_for_project_verify_origin_before_public_release
user_primary_filter_020.jpg,filter,Draw bbox around visible filter mesh and its plastic frame if they form one removable filter part.,user primary wall-mounted candidate,user_provided_for_project_verify_origin_before_public_release
user_primary_filter_021.jpg,filter,Draw bbox around visible filter mesh and its plastic frame if they form one removable filter part.,user primary wall-mounted candidate,user_provided_for_project_verify_origin_before_public_release
user_primary_filter_022.jpg,filter,Draw bbox around visible filter mesh and its plastic frame if they form one removable filter part.,user primary wall-mounted candidate,user_provided_for_project_verify_origin_before_public_release
user_primary_filter_023.png,filter,Draw bbox around visible filter mesh and its plastic frame if they form one removable filter part.,user primary wall-mounted candidate,user_provided_for_project_verify_origin_before_public_release
